province,country,date,lat,long,confirmed,deaths,recovered,active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
Minnesota,US,04-01-2021,43.67142874,-92.75234549,3355,25,0,3330,"Mower, Minnesota, US",8374.519495,0.745156483
Minnesota,US,04-01-2021,44.02216709,-95.76328482,761,5,0,756,"Murray, Minnesota, US",9287.283378,0.657030223
Minnesota,US,04-01-2021,44.35291112,-94.24710352,2102,33,0,2069,"Nicollet, Minnesota, US",6132.928751,1.569933397
Minnesota,US,04-01-2021,43.67434621,-95.75329576,3540,46,0,3494,"Nobles, Minnesota, US",16366.91479,1.299435028
Minnesota,US,04-01-2021,47.32628443,-96.45620947,413,8,0,405,"Norman, Minnesota, US",6478.431373,1.937046005
Minnesota,US,04-01-2021,44.00374114,-92.40209944,9455,64,0,9391,"Olmsted, Minnesota, US",5973.100516,0.676890534
Minnesota,US,04-01-2021,46.40846929,-95.70835255,4260,51,0,4209,"Otter Tail, Minnesota, US",7251.557553,1.197183099
Minnesota,US,04-01-2021,48.06642577,-96.0370814,908,14,0,894,"Pennington, Minnesota, US",6431.050358,1.54185022
Minnesota,US,04-01-2021,46.12105238,-92.74070188,2514,12,0,2502,"Pine, Minnesota, US",8499.273133,0.477326969
Minnesota,US,04-01-2021,44.02301619,-96.25841142,881,21,0,860,"Pipestone, Minnesota, US",9653.736577,2.383654938
Minnesota,US,04-01-2021,47.77372465,-96.40134647,3217,52,0,3165,"Polk, Minnesota, US",10256.98253,1.616412807
Minnesota,US,04-01-2021,45.58606667,-95.44451209,692,4,0,688,"Pope, Minnesota, US",6151.657925,0.578034682
Minnesota,US,04-01-2021,45.01625271,-93.09872295,37572,698,0,36874,"Ramsey, Minnesota, US",6827.288074,1.857766422
Minnesota,US,04-01-2021,47.87197525,-96.09561104,311,4,0,307,"Red Lake, Minnesota, US",7669.543773,1.286173633
Minnesota,US,04-01-2021,44.40555844,-95.25207021,1318,26,0,1292,"Redwood, Minnesota, US",8688.200396,1.972685888
Minnesota,US,04-01-2021,44.72836381,-94.94553734,1308,39,0,1269,"Renville, Minnesota, US",8990.926588,2.981651376
Minnesota,US,04-01-2021,44.3543376,-93.29658715,5600,57,0,5543,"Rice, Minnesota, US",8361.703398,1.017857143
Minnesota,US,04-01-2021,43.67482683,-96.25296832,1038,10,0,1028,"Rock, Minnesota, US",11143.31723,0.963391137
Minnesota,US,04-01-2021,48.77501878,-95.81079919,1612,14,0,1598,"Roseau, Minnesota, US",10629.73953,0.868486352
Minnesota,US,04-01-2021,44.6490231,-93.53340251,11184,84,0,11100,"Scott, Minnesota, US",7505.385436,0.751072961
Minnesota,US,04-01-2021,45.44447208,-93.77617511,7778,57,0,7721,"Sherburne, Minnesota, US",7998.930459,0.732836205
Minnesota,US,04-01-2021,44.5796592,-94.23164924,1032,5,0,1027,"Sibley, Minnesota, US",6942.482341,0.484496124
Minnesota,US,04-01-2021,47.6048407,-92.46879855,12738,212,0,12526,"St. Louis, Minnesota, US",6398.754207,1.664311509
Minnesota,US,04-01-2021,45.55192576,-94.61078221,17093,173,0,16920,"Stearns, Minnesota, US",10611.82679,1.012110221
Minnesota,US,04-01-2021,44.02240351,-93.22627088,2535,9,0,2526,"Steele, Minnesota, US",6916.969085,0.355029586
Minnesota,US,04-01-2021,45.58613007,-96.00163705,677,6,0,671,"Stevens, Minnesota, US",6904.64049,0.886262925
Minnesota,US,04-01-2021,45.2829032,-95.68264092,797,16,0,781,"Swift, Minnesota, US",8601.338226,2.007528231
Minnesota,US,04-01-2021,46.06996226,-94.89785296,2245,27,0,2218,"Todd, Minnesota, US",9102.335388,1.202672606
Minnesota,US,04-01-2021,45.77298854,-96.47062949,220,2,0,218,"Traverse, Minnesota, US",6750.536975,0.909090909
Minnesota,US,04-01-2021,,,441,59,0,382,"Unassigned, Minnesota, US",,13.37868481
Minnesota,US,04-01-2021,44.28424356,-92.23121312,1521,2,0,1519,"Wabasha, Minnesota, US",7032.875572,0.131492439
Minnesota,US,04-01-2021,46.58589171,-94.96968506,1136,12,0,1124,"Wadena, Minnesota, US",8302.879696,1.056338028
Minnesota,US,04-01-2021,44.02211116,-93.58720034,1779,15,0,1764,"Waseca, Minnesota, US",9558.349452,0.84317032
Minnesota,US,04-01-2021,45.03864533,-92.88429635,18762,194,0,18568,"Washington, Minnesota, US",7149.062643,1.034004904
Minnesota,US,04-01-2021,43.97823903,-94.61413846,1035,7,0,1028,"Watonwan, Minnesota, US",9498.02698,0.676328502
Minnesota,US,04-01-2021,46.35721532,-96.4684375,592,7,0,585,"Wilkin, Minnesota, US",9537.618817,1.182432432
Minnesota,US,04-01-2021,43.98772283,-91.78081305,3617,45,0,3572,"Winona, Minnesota, US",7164.646225,1.244124965
Minnesota,US,04-01-2021,45.17297924,-93.96234781,10983,90,0,10893,"Wright, Minnesota, US",7937.012654,0.819448238
Minnesota,US,04-01-2021,44.71710183,-95.86842453,891,14,0,877,"Yellow Medicine, Minnesota, US",9177.05222,1.571268238
Mississippi,US,04-01-2021,31.47669768,-91.35326037,1821,60,0,1761,"Adams, Mississippi, US",5932.948881,3.294892916
Mississippi,US,04-01-2021,34.88084463,-88.57996173,2272,41,0,2231,"Alcorn, Mississippi, US",6148.350608,1.804577465
Mississippi,US,04-01-2021,31.17467303,-90.80501621,883,23,0,860,"Amite, Mississippi, US",7180.613158,2.604756512
Mississippi,US,04-01-2021,33.08658803,-89.57838564,1780,51,0,1729,"Attala, Mississippi, US",9794.211511,2.865168539
Mississippi,US,04-01-2021,34.81681228,-89.18945516,702,21,0,681,"Benton, Mississippi, US",8499.81838,2.991452991
Mississippi,US,04-01-2021,33.79696941,-90.87372121,3516,95,0,3421,"Bolivar, Mississippi, US",11479.69179,2.701934016
Mississippi,US,04-01-2021,33.93683395,-89.33686647,1199,17,0,1182,"Calhoun, Mississippi, US",8349.000766,1.417848207
Mississippi,US,04-01-2021,33.44834567,-89.91994479,949,18,0,931,"Carroll, Mississippi, US",9540.564994,1.896733404
Mississippi,US,04-01-2021,33.91983202,-88.9481545,1629,37,0,1592,"Chickasaw, Mississippi, US",9524.644799,2.271332106
Mississippi,US,04-01-2021,33.34598242,-89.24809382,536,11,0,525,"Choctaw, Mississippi, US",6528.62363,2.052238806
Mississippi,US,04-01-2021,31.97061673,-90.90702196,732,20,0,712,"Claiborne, Mississippi, US",8144.192256,2.732240437
Mississippi,US,04-01-2021,32.04158545,-88.6889622,1224,59,0,1165,"Clarke, Mississippi, US",7875.941059,4.820261438
Mississippi,US,04-01-2021,33.65358105,-88.77784255,1374,30,0,1344,"Clay, Mississippi, US",7113.27397,2.183406114
Mississippi,US,04-01-2021,34.22772299,-90.60415045,2002,52,0,1950,"Coahoma, Mississippi, US",9048.996565,2.597402597
Mississippi,US,04-01-2021,31.86977774,-90.44565118,2227,45,0,2182,"Copiah, Mississippi, US",7935.150543,2.02065559
Mississippi,US,04-01-2021,31.63225413,-89.55389939,1896,68,0,1828,"Covington, Mississippi, US",10173.85705,3.58649789
Mississippi,US,04-01-2021,34.87625235,-89.99091418,15142,141,0,15001,"DeSoto, Mississippi, US",8187.298927,0.931184784
Mississippi,US,04-01-2021,31.18961454,-89.25832496,5375,104,0,5271,"Forrest, Mississippi, US",7176.522424,1.934883721
Mississippi,US,04-01-2021,31.47786634,-90.89672989,603,9,0,594,"Franklin, Mississippi, US",7817.969662,1.492537313
Mississippi,US,04-01-2021,30.86259065,-88.64436789,1746,36,0,1710,"George, Mississippi, US",7126.530612,2.06185567
Mississippi,US,04-01-2021,31.21444233,-88.63922281,1001,25,0,976,"Greene, Mississippi, US",7367.878699,2.497502498
Mississippi,US,04-01-2021,33.77036166,-89.80245083,2005,63,0,1942,"Grenada, Mississippi, US",9658.926679,3.142144638
Mississippi,US,04-01-2021,30.41830223,-89.48851033,2108,55,0,2053,"Hancock, Mississippi, US",4425.596238,2.609108159
Mississippi,US,04-01-2021,30.51359752,-89.12467576,11150,160,0,10990,"Harrison, Mississippi, US",5358.515955,1.434977578
Mississippi,US,04-01-2021,32.2656285,-90.44435448,14301,281,0,14020,"Hinds, Mississippi, US",6168.478261,1.96489756
Mississippi,US,04-01-2021,33.12345854,-90.08923538,1608,67,0,1541,"Holmes, Mississippi, US",9453.262787,4.166666667
Mississippi,US,04-01-2021,33.12825718,-90.52252707,742,22,0,720,"Humphreys, Mississippi, US",9201.388889,2.964959569
Mississippi,US,04-01-2021,32.72531359,-90.97392828,152,4,0,148,"Issaquena, Mississippi, US",11454.40844,2.631578947
Mississippi,US,04-01-2021,34.27993475,-88.3606733,2371,51,0,2320,"Itawamba, Mississippi, US",10136.8106,2.150991143
Mississippi,US,04-01-2021,30.54020656,-88.64184064,8928,159,0,8769,"Jackson, Mississippi, US",6216.534254,1.780913978
Mississippi,US,04-01-2021,32.01922104,-89.11786866,1491,26,0,1465,"Jasper, Mississippi, US",9100.897272,1.74379611
Mississippi,US,04-01-2021,31.73397872,-91.03764977,469,14,0,455,"Jefferson, Mississippi, US",6709.585122,2.985074627
Mississippi,US,04-01-2021,31.56884708,-89.8267099,775,24,0,751,"Jefferson Davis, Mississippi, US",6964.414091,3.096774194
